Smiles
[2H]C([2H])([2H])N=C(O)c1cnc(N=C(O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
[2H]C([2H])([2H])NC(=O)c1n[nH]c(=NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O
[2H]C([2H])([2H])NC(=O)c1n[nH]c(=Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O
[2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccc(F)cn2)cc1Nc1ccccc1S(C)(=O)=O
[2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccccn2)cc1Nc1ccccc1S(C)(=O)=O
[C-]#[N+][C@@H]1C[C@@H]1C(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnn(C)c3)n1)C2
[C-]#[N+][C@@H]1C[C@H]1C(O)=N[C@@]12CN(c3nc(Nc4ccc(OCCO)nc4)ncc3C)C[C@@H]1[C@@H]2C
[C-]#[N+][C@H]1C[C@@H]1C(O)=N[C@@]12CN(c3nc(Nc4cnn(C)c4)ncc3F)C[C@@H]1[C@@H]2C
[C-]#[N+][C@H]1C[C@@H]1C(O)=N[C@@]12CN(c3nc(Nc4cnn(C)c4)ncc3F)C[C@]1(CO)C2
[C-]#[N+]C1(CN2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cn[nH]c4)n2)C3)CC1
[C-]#[N+]c1ccnc(N2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cnn(C)c4)n2)C3)c1
[C-]#[N+]CC1(N2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cnn(C)c4)n2)C3)CN(S(C)(=O)=O)C1
[N-]=[N+]=NC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1
[N-]=[N+]=NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1
BrCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1
C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1
C[C@@]1(C#N)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12
C[C@@]1(C#N)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12
C[C@@]1(CO)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12
C[C@@]1(CO)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12
C[C@@]1(F)CCC[C@@H]1Nc1c(C(=N)O)cnn2cccc12
C[C@@]1(F)CCC[C@@H]1Nc1c(C(N)=O)cnn2cccc12
